difficulty,importance,scheduled_duration,category,location,fixed_time,time_difference,real_duration
0.506,0.631,112,study,home,18:15,0.25,0.0
0.659,0.185,74,work,home,,-1,84.8
0.684,0.36,162,social,outdoor,,-1,195.4
0.168,0.611,10,errand,store,,-1,14.2
0.263,0.802,82,study,cafe,,-1,93.7
0.391,0.674,52,work,office,,-1,76.1
0.327,0.578,108,work,home,,-1,98.2
0.428,0.682,74,work,office,,-1,90.1
0.544,0.5,42,study,home,17:00,2.0,42.4
0.697,0.283,106,work,cafe,,-1,132.5
0.602,0.664,106,work,office,19:15,13.25,132.7
0.096,0.579,113,social,outdoor,20:00,7.0,113.4
0.302,0.62,49,work,cafe,17:30,8.5,60.1
0.461,0.287,85,personal,store,,-1,83.3
0.433,0.865,108,work,cafe,,-1,140.8
0.417,0.492,97,work,office,21:30,3.5,115.8
0.53,0.802,110,work,cafe,,-1,135.8
0.484,0.545,32,personal,home,,-1,25.7
0.155,0.165,79,study,home,15:15,6.25,73.0
0.247,0.159,28,personal,cafe,09:45,-7.25,0.0
0.704,0.693,52,study,home,09:45,-1.25,0.0
0.219,0.443,21,errand,outdoor,,-1,44.3
0.482,0.339,178,social,home,08:18,-8.7,0.0
0.766,0.692,34,work,cafe,,-1,49.3
0.312,0.614,158,social,outdoor,,-1,165.6
0.0,0.541,44,personal,store,,-1,42.2
0.285,0.352,102,study,home,16:45,2.75,106.3
0.193,0.393,109,work,office,,-1,114.0
0.388,0.629,44,work,cafe,,-1,53.1
0.632,0.683,35,study,home,,-1,36.2
0.396,0.502,48,personal,cafe,,-1,51.0
0.238,0.246,100,social,outdoor,13:18,-7.7,0.0
0.442,0.703,33,work,cafe,17:15,6.25,44.9
0.508,0.484,11,errand,outdoor,14:45,3.75,33.2
0.587,0.456,21,errand,store,,-1,26.0
0.077,0.536,36,personal,store,,-1,40.3
0.546,0.6,33,health,gym,,-1,54.9
0.492,0.658,65,personal,home,,-1,55.6
0.296,0.826,31,health,gym,,-1,54.4
0.755,0.122,106,work,office,15:30,0.5,0.0
0.039,0.43,46,personal,cafe,23:00,16.0,41.7
0.677,0.447,62,study,cafe,,-1,75.1
0.626,0.957,53,health,home,08:15,-4.75,0.0
0.719,0.276,69,work,home,,-1,80.9
0.838,0.805,66,work,home,,-1,90.0
0.505,0.678,22,personal,cafe,23:18,2.3,30.7
0.845,0.815,52,work,office,14:00,3.0,86.1
0.241,0.344,34,personal,cafe,,-1,35.1
0.351,0.433,49,study,office,,-1,63.5
0.5,0.25,49,work,cafe,,-1,63.8
0.65,0.625,84,study,office,,-1,107.8
0.167,0.54,24,personal,store,,-1,30.4
0.293,0.04,14,errand,home,18:30,-1.5,0.0
0.682,0.807,44,health,outdoor,,-1,77.3
0.383,0.762,64,work,cafe,10:00,-5.0,0.0
0.571,0.52,106,study,office,22:00,16.0,127.2
0.857,0.648,52,study,home,,-1,67.8
0.464,0.821,22,health,gym,,-1,47.9
0.278,0.352,55,personal,cafe,,-1,55.0
0.753,0.238,81,work,cafe,19:00,-3.0,0.0
0.179,0.451,88,personal,home,14:18,-6.7,0.0
0.749,0.486,60,study,office,,-1,86.7
0.507,0.201,42,personal,home,08:30,-5.5,0.0
0.466,0.531,66,work,office,,-1,92.0
0.551,0.305,102,social,cafe,08:00,-9.0,0.0
0.216,0.535,29,errand,store,,-1,34.6
0.596,0.568,71,study,cafe,17:30,10.5,77.0
0.268,0.677,116,social,home,,-1,115.8
0.142,0.337,37,personal,store,18:15,-0.75,0.0
0.671,0.319,21,health,home,23:15,8.25,27.0
0.463,0.429,72,study,office,11:45,1.75,88.0
0.448,0.533,147,social,home,18:30,12.5,138.2
0.694,0.978,74,work,cafe,,-1,110.2
0.924,0.302,52,health,home,17:15,-1.75,0.0
0.122,0.538,76,personal,home,,-1,60.8
0.281,0.837,112,work,home,12:00,-4.0,0.0
0.291,0.599,33,errand,home,14:18,8.3,26.4
0.278,0.646,21,personal,store,,-1,23.7
0.711,0.811,104,study,home,20:45,14.75,130.5
0.403,0.282,43,personal,cafe,,-1,46.2
0.281,0.504,114,social,home,,-1,105.4
0.708,0.671,66,study,cafe,,-1,86.2
0.64,0.311,83,study,office,22:00,12.0,109.7
0.215,0.627,42,work,home,19:00,0.0,0.0
0.429,0.658,119,study,cafe,11:30,-9.5,0.0
0.44,0.336,32,errand,outdoor,,-1,55.3
0.653,0.697,97,study,office,,-1,123.7
0.663,0.667,87,work,office,,-1,115.3
0.356,0.267,62,social,home,18:30,10.5,64.3
0.391,0.561,58,personal,cafe,,-1,55.8
0.486,0.812,66,study,office,10:45,-7.25,0.0
0.357,0.398,37,personal,home,14:45,6.75,35.9
0.24,0.418,24,errand,store,21:00,9.0,38.3
0.329,0.295,102,social,cafe,19:18,1.3,95.1
0.205,0.896,18,errand,store,,-1,27.1
0.98,0.95,24,health,outdoor,,-1,69.9
0.139,0.296,29,personal,store,,-1,34.0
0.719,0.624,117,study,home,10:30,-6.5,0.0
0.467,0.38,27,errand,store,,-1,32.5
0.634,0.948,23,health,outdoor,,-1,54.2
0.255,0.573,83,work,office,,-1,96.3
0.768,0.79,32,work,office,,-1,52.9
0.695,0.504,87,work,cafe,,-1,114.2
0.555,0.0,30,errand,outdoor,22:30,0.5,42.5
0.347,0.636,57,health,outdoor,,-1,87.8
0.873,0.618,57,health,home,,-1,83.7
0.0,0.469,46,personal,cafe,19:00,2.0,44.8
0.647,0.469,87,study,cafe,18:00,7.0,106.4
0.157,0.518,17,errand,home,23:15,10.25,9.3
0.319,0.456,114,work,cafe,12:18,-6.7,0.0
0.508,0.707,55,health,gym,,-1,89.1
0.276,0.758,44,study,home,,-1,48.6
0.453,0.616,73,work,home,16:45,-5.25,0.0
0.463,0.625,30,errand,home,,-1,24.7
0.849,0.129,94,work,office,19:30,4.5,130.9
0.409,0.621,114,study,home,18:15,8.25,121.0
0.088,0.257,45,errand,store,12:30,-7.5,0.0
0.334,0.664,32,health,outdoor,,-1,55.8
0.21,0.54,45,study,cafe,21:18,4.3,57.7
0.229,0.519,45,personal,cafe,22:15,7.25,40.4
0.214,0.834,44,work,home,21:15,15.25,43.9
0.52,0.333,148,social,cafe,12:00,-7.0,0.0
0.121,0.0,36,errand,outdoor,17:45,8.75,51.7
0.069,0.435,74,personal,home,13:45,-1.25,0.0
0.961,0.383,60,work,office,14:45,2.75,101.3
0.514,0.627,46,health,outdoor,19:30,-1.5,0.0
0.274,0.623,102,social,cafe,21:30,15.5,106.8
0.54,0.597,77,personal,cafe,,-1,82.2
0.439,0.452,97,study,office,11:45,-4.25,0.0
0.976,1.0,50,health,gym,16:18,5.3,113.0
0.403,0.065,141,social,outdoor,19:00,2.0,130.5
0.645,0.497,33,health,home,,-1,37.9
0.424,0.326,115,work,office,,-1,133.7
0.509,0.428,65,work,cafe,,-1,82.7
0.438,0.406,86,study,cafe,,-1,98.6
0.0,0.28,44,errand,outdoor,19:30,5.5,54.3
0.469,0.468,95,work,cafe,12:45,-4.25,0.0
0.287,0.552,87,work,home,19:15,1.25,80.0
0.871,0.494,43,study,home,09:15,-7.75,0.0
0.206,0.0,174,social,outdoor,09:15,-6.75,0.0
0.26,0.332,155,social,outdoor,23:18,11.3,166.6
0.659,0.706,118,study,office,,-1,147.3
1.0,0.438,45,health,gym,08:30,-3.5,0.0
0.151,0.523,34,errand,store,13:45,3.75,41.2
0.445,0.425,54,personal,cafe,,-1,61.9
0.72,0.93,39,work,home,,-1,54.4
0.492,0.732,69,work,cafe,,-1,85.6
0.561,0.622,97,study,home,,-1,102.2
0.725,0.62,24,health,gym,12:18,-9.7,0.0
0.451,0.134,46,work,cafe,,-1,57.7
0.341,0.195,66,study,home,,-1,61.4
0.275,0.421,59,work,cafe,08:30,-5.5,0.0
1.0,0.707,74,work,cafe,14:30,-6.5,0.0
0.609,0.023,62,work,office,,-1,68.9
0.457,0.087,66,social,home,,-1,60.6
0.403,0.167,83,personal,home,,-1,68.7
0.327,0.635,24,errand,store,,-1,29.8
0.193,0.416,116,work,home,,-1,113.0
0.868,0.955,35,study,cafe,21:15,9.25,63.1
0.597,0.744,94,social,cafe,,-1,109.9
0.788,0.679,35,health,home,,-1,39.5
0.327,0.86,97,work,cafe,19:00,12.0,118.7
0.686,0.32,20,health,outdoor,,-1,50.4
0.504,0.253,52,personal,store,,-1,53.2
0.492,0.715,118,work,home,12:15,2.25,116.4
0.363,0.895,38,study,cafe,12:18,6.3,49.4
0.4,0.541,81,personal,home,,-1,67.7
0.227,0.565,48,personal,home,,-1,43.8
0.376,0.322,42,errand,store,,-1,49.5
0.722,0.373,45,health,gym,11:15,-8.75,0.0
0.148,0.556,38,work,home,14:45,-6.25,0.0
0.582,0.648,33,personal,cafe,,-1,38.3
0.685,0.637,109,study,cafe,,-1,140.0
0.231,0.557,78,study,office,,-1,89.4
0.635,0.985,54,health,home,,-1,71.7
0.394,0.404,115,study,office,22:18,8.3,146.1
0.432,0.689,36,study,home,,-1,39.4
0.52,0.881,33,errand,home,10:00,-11.0,0.0
0.541,0.47,107,study,home,,-1,111.5
0.686,0.587,79,work,office,23:45,15.75,101.2
0.656,0.621,53,work,home,,-1,58.8
0.239,0.346,46,personal,home,,-1,36.5
0.295,0.452,21,errand,home,19:18,9.3,22.8
0.806,0.736,106,work,cafe,20:00,13.0,150.3
0.835,0.872,30,health,outdoor,,-1,68.8
0.251,0.185,22,personal,home,13:15,-7.75,0.0
0.66,0.394,33,errand,home,,-1,29.6
0.295,0.0,168,social,outdoor,,-1,149.1
0.587,0.48,111,work,home,,-1,131.1
0.663,0.099,121,social,home,19:18,10.3,111.2
0.506,0.236,15,personal,store,17:30,0.5,18.6
1.0,0.833,47,study,cafe,,-1,85.8
0.401,0.831,12,errand,outdoor,,-1,38.6
0.833,0.741,31,health,gym,,-1,71.4
0.648,0.327,63,personal,cafe,12:45,-2.25,0.0
0.359,0.209,41,personal,home,23:30,17.5,38.7
0.525,0.539,10,errand,store,15:45,8.75,18.8
0.488,0.442,23,personal,home,19:00,4.0,21.8
0.714,0.0,115,study,cafe,13:18,7.3,109.4
0.262,0.755,87,social,outdoor,,-1,117.6
0.779,0.442,91,work,office,,-1,131.4
0.622,1.0,111,work,cafe,,-1,153.3
0.373,0.439,113,work,office,,-1,140.6
0.059,0.528,35,errand,home,,-1,25.9
0.232,0.528,11,errand,outdoor,09:18,-10.7,0.0
0.632,0.448,28,health,outdoor,11:00,2.0,53.8
0.508,0.198,73,personal,cafe,10:45,-10.25,0.0
0.33,0.426,93,social,home,12:45,-4.25,0.0
0.409,0.492,40,study,office,19:18,1.3,53.5
0.716,0.474,94,work,office,11:00,4.0,133.0
0.27,0.29,77,personal,store,17:00,-3.0,0.0
0.405,0.621,99,study,home,,-1,114.4
0.5,0.513,33,study,home,10:30,-4.5,0.0
0.0,0.355,21,errand,store,10:15,-7.75,0.0
0.818,0.374,49,health,home,,-1,60.0
0.0,0.407,23,errand,outdoor,20:00,4.0,48.2
0.303,1.0,76,work,office,,-1,107.0
0.612,0.575,114,work,cafe,,-1,134.6
0.587,0.401,80,personal,store,13:18,-7.7,0.0
0.512,0.319,135,social,outdoor,,-1,158.9
0.235,0.192,63,personal,store,21:00,-1.0,56.0
0.657,1.0,66,work,cafe,,-1,106.4
0.585,0.749,120,work,office,09:30,3.5,138.8
0.308,0.13,35,work,office,21:00,3.0,50.8
0.37,0.682,99,study,cafe,,-1,106.2
0.81,0.888,53,work,home,10:45,-7.25,0.0
0.484,0.454,32,errand,outdoor,,-1,53.9
0.657,0.36,45,study,cafe,13:30,0.5,52.9
0.594,0.278,58,personal,cafe,13:15,3.25,61.5
0.296,0.383,53,personal,home,09:30,1.5,42.2
0.365,0.519,149,social,cafe,,-1,157.9
0.648,0.182,82,social,home,,-1,83.2
0.485,0.5,33,errand,outdoor,,-1,63.6
0.237,0.319,15,personal,home,,-1,11.1
0.36,0.502,78,work,home,21:15,1.25,74.8
0.688,0.238,79,social,cafe,20:30,-1.5,0.0
0.534,0.515,38,work,office,,-1,51.6
0.219,0.452,120,social,home,19:45,13.75,100.4
0.4,0.335,58,health,outdoor,,-1,89.6
0.435,0.491,80,work,home,,-1,86.1
0.192,0.656,129,social,home,15:15,2.25,105.9
0.618,0.345,40,errand,home,17:15,1.25,36.7
0.741,0.428,59,health,gym,,-1,94.6
0.42,0.552,36,personal,store,,-1,43.9
0.442,0.191,101,study,home,,-1,96.2
0.342,0.291,72,personal,home,21:15,10.25,67.8
0.471,0.267,70,study,home,,-1,72.0
0.506,0.337,39,work,home,,-1,42.0
0.429,0.453,17,errand,home,21:00,7.0,9.9
0.981,0.407,59,work,home,,-1,86.7
0.44,0.67,53,work,office,,-1,70.4
0.588,0.829,14,errand,home,22:00,12.0,17.7
0.487,0.47,43,health,gym,17:30,8.5,67.5
0.262,0.167,41,errand,outdoor,13:18,-6.7,0.0
0.706,0.64,99,study,office,,-1,121.0
0.847,0.803,89,work,home,,-1,134.8
0.507,0.459,27,errand,outdoor,22:45,1.75,51.9
0.23,0.483,53,personal,cafe,,-1,47.7
0.416,0.301,43,personal,cafe,09:15,2.25,50.1
0.989,0.539,22,health,home,11:15,-10.75,0.0
0.639,0.684,81,work,home,18:45,-2.25,0.0
0.404,0.352,35,personal,cafe,,-1,36.5
0.235,0.39,27,personal,store,,-1,31.4
0.438,0.116,42,errand,home,08:18,-5.7,0.0
0.15,0.566,35,errand,home,18:18,5.3,25.5
0.285,0.041,164,social,cafe,,-1,138.5
0.521,0.922,60,work,cafe,,-1,82.4
0.418,0.354,31,personal,cafe,20:45,14.75,33.4
0.597,0.648,36,work,cafe,21:15,7.25,51.1
0.585,0.439,35,work,cafe,,-1,44.8
0.368,0.139,34,errand,outdoor,,-1,53.2
0.574,0.742,117,study,home,13:00,1.0,93.0
0.653,0.274,67,study,office,12:18,4.3,89.1
0.773,0.208,48,study,home,,-1,53.8
0.499,0.473,53,health,outdoor,,-1,88.5
0.15,0.411,24,errand,outdoor,22:15,2.25,43.8
0.323,0.524,53,work,office,,-1,71.5
0.687,0.502,119,work,office,,-1,159.2
0.468,0.549,34,personal,home,09:30,-5.5,0.0
0.0,0.456,83,social,cafe,19:45,-0.25,0.0
0.519,0.567,86,study,cafe,,-1,100.1
0.232,0.674,103,work,cafe,18:00,-4.0,0.0
0.844,0.486,56,health,gym,22:45,9.75,102.2
0.722,0.0,80,personal,store,09:30,-3.5,0.0
0.817,0.581,51,personal,store,21:30,1.5,62.5
0.315,0.759,18,errand,store,19:00,2.0,24.2
0.431,0.456,48,study,office,,-1,68.0
0.652,0.19,174,social,cafe,13:15,0.25,0.0
0.408,0.942,117,work,home,,-1,149.2
0.549,0.517,120,study,home,15:00,8.0,126.5
0.632,0.878,120,work,cafe,22:45,6.75,162.0
0.368,0.934,79,work,office,,-1,119.1
0.679,0.429,115,work,home,,-1,133.4
0.215,0.253,136,social,home,18:15,3.25,113.1
0.407,0.193,59,personal,home,16:30,3.5,52.8
0.356,0.765,46,work,home,13:15,-2.75,0.0
0.746,0.731,98,work,office,,-1,136.3
0.055,0.316,25,errand,outdoor,,-1,44.0
0.665,0.99,56,health,outdoor,13:00,6.0,106.5
0.0,0.304,10,errand,home,17:00,4.0,1.3
0.102,0.658,69,personal,cafe,,-1,66.8
0.706,0.542,43,work,cafe,,-1,61.9
0.339,0.492,49,personal,cafe,,-1,52.6
0.425,0.866,37,health,outdoor,,-1,75.2
0.769,0.94,53,work,cafe,,-1,85.7
0.158,0.535,34,errand,outdoor,18:15,0.25,40.4
0.754,0.868,25,health,gym,,-1,59.8
0.469,0.85,46,study,office,,-1,64.0
0.132,0.638,44,study,home,,-1,35.8
0.219,0.692,63,personal,store,11:00,4.0,56.8
0.308,0.845,66,work,cafe,23:15,10.25,85.6
0.378,0.349,66,social,outdoor,22:45,14.75,92.6
0.8,0.562,54,health,gym,12:18,0.3,0.0
0.407,0.562,69,personal,store,,-1,68.1
0.506,0.439,120,work,office,,-1,152.3
0.467,0.609,178,social,cafe,,-1,201.4
0.704,0.255,21,personal,store,11:45,1.75,32.5
0.335,0.385,82,social,outdoor,,-1,110.6
0.129,0.898,45,study,home,16:30,-4.5,0.0
0.142,0.428,81,social,outdoor,08:30,-9.5,0.0
0.223,0.691,59,study,home,11:45,-9.25,0.0
0.596,0.284,79,social,cafe,,-1,88.5
0.363,0.724,20,health,gym,,-1,44.6
0.39,0.42,45,personal,cafe,,-1,49.0
0.019,0.317,86,personal,store,,-1,68.3
0.852,0.594,40,health,gym,22:00,15.0,74.7
0.467,0.534,32,work,cafe,16:00,1.0,42.6
0.628,0.779,65,study,cafe,,-1,84.1
0.669,0.673,25,health,home,,-1,32.0
0.069,0.078,40,errand,store,,-1,38.7
0.612,0.627,93,study,office,,-1,112.1
0.809,0.871,29,health,home,,-1,48.3
0.265,0.188,19,errand,home,22:00,14.0,14.6
0.812,0.83,46,work,cafe,10:30,4.5,75.4
0.503,0.642,92,work,office,09:18,1.3,104.5
0.64,0.546,21,personal,cafe,,-1,28.4
0.277,0.128,21,personal,home,,-1,19.0
0.305,0.262,73,social,home,08:00,-4.0,0.0
0.674,0.633,44,work,cafe,,-1,57.8
0.627,0.692,74,work,home,,-1,84.2
0.523,0.477,42,personal,cafe,17:30,-3.5,0.0
0.388,1.0,42,health,gym,17:15,2.25,77.1
0.487,0.536,88,work,home,09:30,-1.5,0.0
0.694,0.671,60,work,office,15:00,5.0,90.7
0.57,0.616,21,errand,home,11:15,1.25,17.7
0.202,0.565,80,personal,store,,-1,70.1
0.456,0.515,69,work,cafe,,-1,82.5
0.562,0.491,40,health,gym,12:18,6.3,68.9
0.712,0.848,101,study,office,,-1,148.0
0.067,0.496,39,errand,outdoor,11:30,-7.5,0.0
0.288,0.279,92,study,office,23:45,10.75,100.2
0.46,0.395,58,personal,store,,-1,67.2
0.423,0.526,100,study,cafe,,-1,116.9
0.426,0.74,108,study,home,,-1,114.1
0.264,0.697,79,personal,cafe,,-1,69.0
0.373,0.996,67,study,office,,-1,102.9
0.447,0.47,60,personal,store,,-1,60.3
0.061,0.507,19,errand,store,10:45,-5.25,0.0
0.253,0.626,114,social,cafe,,-1,115.8
0.431,0.378,49,study,home,,-1,58.6
0.585,0.478,108,work,cafe,,-1,129.8
0.412,0.165,12,errand,outdoor,,-1,35.0
0.247,0.647,154,social,home,,-1,145.2
0.0,0.748,16,errand,home,,-1,15.6
0.797,0.925,46,work,home,10:00,-2.0,0.0
0.699,0.376,102,work,office,,-1,132.0
0.575,0.152,14,errand,home,,-1,6.6
0.472,0.362,122,social,outdoor,,-1,144.7
0.217,0.668,29,errand,store,10:00,-3.0,0.0
0.693,0.542,53,health,gym,17:30,7.5,84.7
0.127,0.088,33,errand,home,08:15,-9.75,0.0
0.497,0.42,58,work,cafe,,-1,76.1
0.799,0.15,21,errand,store,,-1,32.5
0.103,0.467,30,personal,cafe,,-1,27.3
0.435,0.577,25,personal,cafe,,-1,32.8
0.251,0.969,42,health,home,17:00,7.0,51.4
0.324,0.763,120,work,home,16:15,-3.75,0.0
0.558,0.243,52,study,office,10:30,-9.5,0.0
0.319,0.471,71,personal,store,23:30,17.5,67.2
0.391,0.454,120,study,home,12:30,5.5,123.8
0.708,0.319,69,social,cafe,11:45,-2.25,0.0
0.182,0.649,12,errand,outdoor,,-1,36.7
0.756,0.0,20,personal,home,,-1,16.5
0.457,0.151,39,personal,cafe,,-1,41.0
0.393,0.532,138,social,cafe,,-1,154.5
0.218,0.587,16,errand,store,16:45,-3.25,0.0
0.515,0.467,99,study,cafe,19:45,3.75,108.5
0.312,0.435,11,errand,outdoor,08:00,-5.0,0.0
0.0,0.737,35,errand,store,08:15,1.25,33.1
0.748,0.145,115,social,outdoor,,-1,149.9
0.23,0.545,111,study,home,,-1,107.3
0.286,0.389,31,personal,home,,-1,28.1
0.331,0.473,31,work,home,17:00,-3.0,0.0
0.518,0.43,59,study,office,,-1,75.5
0.554,0.776,98,work,cafe,15:30,6.5,117.3
0.483,0.0,95,social,home,,-1,82.5
0.627,0.399,84,work,home,,-1,87.1
0.461,0.656,12,errand,home,,-1,5.4
0.646,0.448,81,study,office,,-1,102.7
0.26,0.226,171,social,home,22:15,6.25,148.8
0.44,0.549,26,errand,store,,-1,35.4
0.653,0.154,85,personal,cafe,23:18,7.3,94.8
0.0,0.416,44,errand,outdoor,20:45,4.75,59.8
0.782,0.645,60,health,gym,,-1,102.1
0.599,0.47,112,study,office,,-1,129.3
0.189,0.089,23,errand,store,,-1,30.0
0.36,0.677,83,work,office,,-1,106.0
0.265,0.724,114,work,cafe,12:00,2.0,126.0
0.632,0.569,76,work,cafe,,-1,99.4
0.186,0.693,76,personal,home,20:15,2.25,62.7
0.486,0.608,70,study,home,17:30,1.5,75.5
0.399,0.052,65,personal,cafe,10:30,-1.5,0.0
0.68,0.38,87,work,office,,-1,126.3
0.54,0.756,109,work,office,,-1,136.0
0.357,0.46,32,errand,store,09:18,-7.7,0.0
0.291,0.146,69,personal,home,,-1,49.5
0.5,0.588,14,errand,home,13:30,-5.5,0.0
0.494,0.857,32,health,outdoor,09:45,0.75,71.8
0.455,0.246,63,personal,store,08:30,0.5,47.5
0.415,0.947,21,health,home,,-1,27.3
0.526,0.356,15,personal,home,19:00,9.0,16.3
0.407,0.558,34,work,home,19:45,-0.25,0.0
0.0,0.506,25,personal,home,15:45,-4.25,0.0
0.234,0.541,124,social,outdoor,11:30,0.5,0.0
0.736,0.692,37,personal,cafe,,-1,46.6
0.972,0.867,41,health,gym,14:00,-8.0,0.0
0.094,0.402,92,study,office,20:45,9.75,92.2
0.301,0.4,31,personal,home,16:15,-3.75,0.0
0.0,0.593,10,errand,home,19:30,1.5,2.0
0.823,0.682,51,health,home,14:45,-2.25,0.0
0.215,0.476,69,study,cafe,,-1,72.9
0.255,0.511,53,personal,home,,-1,44.3
0.279,0.732,40,personal,store,,-1,45.0
0.87,0.797,91,study,cafe,09:30,-10.5,0.0
0.73,0.57,118,study,cafe,23:15,3.25,146.8
0.552,0.206,40,work,home,10:15,-5.75,0.0
0.536,0.488,103,work,home,,-1,113.6
0.007,0.555,45,errand,home,,-1,26.2
0.683,0.86,60,study,cafe,11:30,0.5,63.1
0.576,0.489,30,personal,store,08:15,-10.75,0.0
0.529,0.514,58,work,office,23:30,9.5,73.2
0.493,0.279,49,health,home,12:30,-5.5,0.0
0.483,0.594,50,personal,cafe,,-1,50.2
0.611,0.608,30,personal,store,15:18,2.3,39.8
0.149,0.245,46,personal,home,,-1,30.8
0.942,0.951,67,work,cafe,,-1,125.9
0.0,0.0,10,errand,store,13:18,0.3,14.6
0.079,0.316,87,social,home,,-1,70.3
0.698,0.667,30,health,outdoor,,-1,63.6
0.067,0.051,69,personal,store,,-1,50.8
0.051,0.392,73,personal,cafe,13:45,-5.25,0.0
0.457,0.628,84,study,office,20:15,6.25,108.7
0.389,0.695,62,personal,home,,-1,56.5
0.531,0.797,43,work,cafe,,-1,63.8
0.481,0.547,64,work,cafe,,-1,79.5
0.643,0.936,71,study,office,20:15,11.25,104.0
0.681,0.395,112,social,cafe,22:15,15.25,130.6
0.682,0.563,42,work,office,16:18,3.3,63.6
0.242,0.459,51,work,office,,-1,62.2
0.685,0.524,117,work,cafe,,-1,144.7
0.429,0.252,152,social,cafe,23:30,5.5,156.9
0.797,0.896,109,work,home,20:45,7.75,152.2
0.417,0.52,25,errand,home,,-1,19.3
0.761,0.482,52,work,office,15:00,4.0,76.1
0.356,0.365,36,errand,outdoor,,-1,54.5
0.389,0.785,41,health,gym,23:18,12.3,67.9
0.344,0.378,50,work,cafe,10:30,1.5,67.3
0.311,0.51,11,errand,outdoor,,-1,33.2
0.257,0.793,57,study,office,,-1,67.1
0.438,0.137,17,personal,home,,-1,11.2
0.282,0.394,26,personal,home,,-1,21.0
0.248,0.909,114,work,office,,-1,144.5
0.403,0.306,54,work,cafe,,-1,66.3
0.438,0.499,79,study,cafe,17:00,4.0,98.7
0.627,0.729,114,work,cafe,12:45,6.75,138.4
0.0,0.346,12,errand,outdoor,13:30,1.5,30.6
0.809,0.751,53,health,home,21:18,3.3,72.8
0.624,0.413,54,study,home,08:30,-11.5,0.0
0.512,0.49,45,personal,store,14:00,4.0,49.5
0.486,0.412,90,social,outdoor,,-1,108.2
0.46,0.446,107,study,office,13:30,1.5,108.8
0.475,0.458,84,work,cafe,,-1,89.4
0.476,0.48,51,work,cafe,,-1,64.0
0.648,0.774,56,health,gym,08:15,-3.75,0.0
0.306,0.557,38,study,cafe,15:18,9.3,43.1
0.323,0.717,109,work,home,16:30,6.5,119.0
0.885,0.682,54,work,home,17:30,10.5,78.0
0.399,0.276,85,social,cafe,,-1,102.5
0.867,0.454,52,work,office,,-1,85.7
